0,1,2,3,4,5,6,7,8,9,10,11,12,13,_id
Tammy,Sams,Photos Inc,5 Secaucus Rd,Nanaimo,NA,BC,V9R 5W6,250-226-1002,250-625-6517,tammy_sams@sams.com,http://www.photosinc.com,ca,,6150ec4156178a9030e6ba29
Willis,Wylie,Acquired Knowledge Inc,646 9th St,Saint-Raymond,NA,QC,G3L 3X9,418-833-1949,418-933-6430,willis@yahoo.com,http://www.acquiredknowledgeinc.com,ca,,6150ec4156178a9030e6ba2a
Maxima,Brzozowski,B Js Body Shop,864 Aupuni St,St Catharines,NA,ON,L2T 2V2,905-569-6732,905-595-2866,mbrzozowski@aol.com,http://www.bjsbodyshop.com,ca,,6150ec4156178a9030e6ba2b
Boris,Latif,Emlou Boutique,9390 Fortin Dr,Quebec,NA,QC,G1M 2H8,418-459-4884,418-668-9068,boris.latif@latif.com,http://www.emlouboutique.com,ca,,6150ec4156178a9030e6ba2c
Salina,Knavel,Schiller & Osbourn,4 Newark St,Arnprior,NA,ON,K7S 2G8,613-280-7170,613-942-9083,salina.knavel@gmail.com,http://www.schillerosbourn.com,ca,,6150ec4156178a9030e6ba2d
Justa,Dini,Superior Coffee & Foods,8 J St,Vernon,NA,BC,V1T 6J8,250-982-9377,250-460-8500,justa.dini@hotmail.com,http://www.superiorcoffeefoods.com,ca,,6150ec4156178a9030e6ba2e
Amalia,Wolfgang,Knutson, Becky S Esq,394 Dice Rd #861,Windsor,NA,ON,N8N 3V8,519-219-3608,519-885-5104,amalia_wolfgang@wolfgang.org,http://www.knutsonbeckysesq.com,ca,6150ec4156178a9030e6ba2f
Felix,Tutterrow,Corinth Dry Cleaners,92 W 39th St #9990,London,NA,ON,N6G 3E5,519-426-7161,519-845-2626,ftutterrow@tutterrow.org,http://www.corinthdrycleaners.com,ca,,6150ec4156178a9030e6ba30
Eura,Mcglocklin,Graphic Color Litho Inc,9 N Monroe St,Lloydminster,NA,SK,S9V 0C6,306-979-2571,306-813-8269,eura@mcglocklin.org,http://www.graphiccolorlithoinc.com,ca,,6150ec4156178a9030e6ba31
Lang,Heuring,Hill Realty Property Mgmt,2 Global Rd,Cambridge,NA,ON,N1R 2X2,519-985-7311,519-864-3447,lang@cox.net,http://www.hillrealtypropertymgmt.com,ca,,6150ec4156178a9030e6ba32
Agustin,Lakatos,Thrasher, John E Esq,23 E Wacker Dr #64,Becancour,NA,QC,G9H 4T4,819-365-5394,819-820-9025,agustin.lakatos@hotmail.com,http://www.thrasherjohneesq.com,ca,6150ec4156178a9030e6ba33
Jaime,Lowrance,Sams Liquor & Deli,1 Nw 167th St,Winnipeg,NA,MB,R3J 2Z1,204-438-6204,204-941-5253,jaime.lowrance@lowrance.org,http://www.samsliquordeli.com,ca,,6150ec4156178a9030e6ba34
Carman,Gudiel,Weiss, Martin Esq,1 Frontage Rd,St. Johns,NA,NL,A1B 5B3,709-366-8943,709-882-9189,carman@gmail.com,http://www.weissmartinesq.com,ca,6150ec4156178a9030e6ba35
Argelia,Hofbauer,Medical Productions,5 Columbia,North Vancouver,NA,BC,V7J 2J9,604-823-2881,604-904-3459,argelia.hofbauer@cox.net,http://www.medicalproductions.com,ca,,6150ec4156178a9030e6ba36
Mammie,Cisney,Arellano, Cecilia S Md,14 E 30th St,Montreal,NA,QC,H1E 1R4,514-205-4258,514-841-9635,mammie@cox.net,http://www.arellanoceciliasmd.com,ca,6150ec4156178a9030e6ba37
Rashad,Menino,World Sign Associates,8 Commercial Ave,Carleton Place,NA,ON,K7C 2T3,613-697-2555,613-841-5430,rashad.menino@menino.com,http://www.worldsignassociates.com,ca,,6150ec4156178a9030e6ba38
Janna,Bastain,Hastings, Robert R Jr,41 Drive  Hwy 54s S,Vancouver,NA,BC,V6N 3C5,604-575-7837,604-519-7671,janna@bastain.com,http://www.hastingsrobertrjr.com,ca,6150ec4156178a9030e6ba39
Callie,Neikirk,Shields, Sheridn Cpa,6601 Park Ave #9924,Mississauga,NA,ON,L4T 0A1,905-465-6909,905-894-7244,callie.neikirk@neikirk.org,http://www.shieldssheridncpa.com,ca,6150ec4156178a9030e6ba3a
Coral,Helmcamp,Hepco Inc,4184 E 142nd St,Toronto,NA,ON,M5V 0B4,416-589-6075,416-469-6933,coral.helmcamp@helmcamp.org,http://www.hepcoinc.com,ca,,6150ec4156178a9030e6ba3b
Xenia,Mushero,Institute For Law & Jstc Inc,1 El Camino Ave #39,Kingston,NA,ON,K7K 1P6,613-714-1829,613-877-4457,xenia@aol.com,http://www.instituteforlawjstcinc.com,ca,,6150ec4156178a9030e6ba3c
Adelle,Nitcher,John J Mccarthy Agency Inc,10 Midway Dr,Thorold,NA,ON,L2V 5C7,905-998-3758,905-848-6892,anitcher@aol.com,http://www.johnjmccarthyagencyinc.com,ca,,6150ec4156178a9030e6ba3d
Hildegarde,Wehrwein,Ocean State Rental Corp,2 Cottman Ave,West Vancouver,NA,BC,V7T 1R7,604-960-7463,604-475-5636,hwehrwein@gmail.com,http://www.oceanstaterentalcorp.com,ca,,6150ec4156178a9030e6ba3e
Phuong,Sugai,Scholtes, William E Esq,8926 E 119th St #9,Lavaltrie,NA,QC,J5T 2C7,450-501-4406,450-760-5225,psugai@gmail.com,http://www.scholteswilliameesq.com,ca,6150ec4156178a9030e6ba3f
Leontine,Lafoy,Caffrey, John F Esq,191 Richland St #5,Quebec,NA,QC,G1J 4B2,418-271-8667,418-975-7693,llafoy@aol.com,http://www.caffreyjohnfesq.com,ca,6150ec4156178a9030e6ba40
Darell,Mcalarney,Janney Montgomery Scott Inc,8 E 92nd St,Ajax,NA,ON,L1S 6V3,905-846-7737,905-741-3908,darell_mcalarney@mcalarney.com,http://www.janneymontgomeryscottinc.com,ca,,6150ec4156178a9030e6ba41
Madonna,Landman,Brown, Glenn Esq,283 Andover St,Castlegar,NA,BC,V1N 3P7,250-307-7698,250-281-5616,madonna.landman@landman.com,http://www.brownglennesq.com,ca,6150ec4156178a9030e6ba42
Chuck,Berggren,Weyerhaeuser Paper Co,764 Louisville Plac,St. Johns,NA,NL,A1E 2L8,709-534-6576,709-374-6188,chuck@gmail.com,http://www.weyerhaeuserpaperco.com,ca,,6150ec4156178a9030e6ba43
Gregg,Epperheimer,Best Western Sterling House,59 W Jackson Blvd #11,Lasalle,NA,QC,H8R 3T2,514-302-4158,514-293-8889,gepperheimer@aol.com,http://www.bestwesternsterlinghouse.com,ca,,6150ec4156178a9030e6ba44
Yan,Bubrig,Database Programming & Design,712 N 5th St,Grand Manan,NA,NB,E5G 1L1,506-493-4894,506-822-2002,yan@cox.net,http://www.databaseprogrammingdesign.com,ca,,6150ec4156178a9030e6ba45
Stephanie,Garlett,Brown Shoe Co,6 L St #1761,Kanata,NA,ON,K2T 1G5,613-557-7338,613-998-1215,stephanie.garlett@gmail.com,http://www.brownshoeco.com,ca,,6150ec4156178a9030e6ba46
Alberto,Stenquist,Dowell Associates Inc,6126 E 14th St #6,St Catharines,NA,ON,L2N 6C7,905-435-9456,905-433-2538,alberto_stenquist@stenquist.org,http://www.dowellassociatesinc.com,ca,,6150ec4156178a9030e6ba47
Wayne,Shivers,Ram Page,865 Ponce De Leon Blvd,Chicoutimi,NA,QC,G7H 6A2,418-374-1965,418-323-3965,wayne@aol.com,http://www.rampage.com,ca,,6150ec4156178a9030e6ba48
Kristal,Bothe,L A Kennedy Inc,896 Pershing Ave,Paradise,NA,NL,A1L 2Y8,709-976-5766,709-937-7068,kristal@hotmail.com,http://www.lakennedyinc.com,ca,,6150ec4156178a9030e6ba49
Luis,Metzner,Hyman And Lippitt,8868 S Arroyo Pkwy #996,Trois-Rivieres,NA,QC,G8V 2J6,819-860-8913,819-747-5807,lmetzner@metzner.org,http://www.hymanandlippitt.com,ca,,6150ec4156178a9030e6ba4a
Dawne,Mcloud,Bridger Scientific Inc,25 Keystone Xing,Stoney Creek,NA,ON,L8E 2E4,905-760-9649,905-999-2576,dmcloud@cox.net,http://www.bridgerscientificinc.com,ca,,6150ec4156178a9030e6ba4b
Karrie,Kinikini,Lohmeyer Corrigan Taylor Pc,491 Main St #893,Kamloops,NA,BC,V2B 7X9,250-384-7658,250-661-6367,karrie_kinikini@kinikini.org,http://www.lohmeyercorrigantaylorpc.com,ca,,6150ec4156178a9030e6ba4c
Mozelle,Hermon,Comfort Inn Of Lincoln,523 Spencerville Ct,Mount Pisgah,NA,NB,E4G 1E8,506-573-3112,506-834-4114,mozelle_hermon@cox.net,http://www.comfortinnoflincoln.com,ca,,6150ec4156178a9030e6ba4d
Mila,Hair,Bobby Reed Attorney At Law,515 S Main St,Saint-Leonard,NA,QC,H1P 1M8,514-945-2978,514-363-9034,mhair@cox.net,http://www.bobbyreedattorneyatlaw.com,ca,,6150ec4156178a9030e6ba4e
Gilma,Jefferys,Celestin Design Centre,147 E Centre St,Halifax,NA,NS,B3H 4E1,902-804-8543,902-756-4703,gjefferys@aol.com,http://www.celestindesigncentre.com,ca,,6150ec4156178a9030e6ba4f
Armanda,Mcduffie,Voils, Otis V,989 Wyatt Dr #7,Cowansville,NA,QC,J2K 2M6,450-866-7181,450-681-1613,armanda.mcduffie@hotmail.com,http://www.voilsotisv.com,ca,6150ec4156178a9030e6ba50
Vonda,Normandeau,Crisell Cohee & Co,9891 Main St,Mirabel,NA,QC,J7J 1G7,450-706-3809,450-473-8682,vonda@yahoo.com,http://www.crisellcoheeco.com,ca,,6150ec4156178a9030e6ba51
Truman,Mondale,Metz, Roger E Esq,1657 N Green St,Peterborough,NA,ON,K9J 0A1,705-757-7389,705-234-5820,truman.mondale@aol.com,http://www.metzrogereesq.com,ca,6150ec4156178a9030e6ba52
Elvis,Tenuta,Beloit Boxboard Co,6437 Date Palm Dr,Calgary,NA,AB,T2B 0X5,403-415-1285,403-329-4641,elvis_tenuta@tenuta.org,http://www.beloitboxboardco.com,ca,,6150ec4156178a9030e6ba53
Loise,Dedaj,Magnotta Construction Co Inc,1062 Rd,Saskatoon,NA,SK,S7K 5J3,306-964-9291,306-310-4288,loise@aol.com,http://www.magnottaconstructioncoinc.com,ca,,6150ec4156178a9030e6ba54
Jannette,Pedder,Reif, W Michael Esq,73 Madison Ave,Vancouver,NA,BC,V6L 2V9,604-953-5335,604-889-3061,jpedder@pedder.com,http://www.reifwmichaelesq.com,ca,6150ec4156178a9030e6ba55
Margo,Rand,Muscle Bound Bindery,344 Lyndon St,Concord,NA,ON,L4K 1J7,905-781-3868,905-855-2524,margo@rand.org,http://www.muscleboundbindery.com,ca,,6150ec4156178a9030e6ba56
Dahlia,Benett,Doco School Empl Fed Crdt Un,3986 Home Life,Alma,NA,QC,G8B 1K7,418-344-9993,418-720-5596,dahlia_benett@aol.com,http://www.docoschoolemplfedcrdtun.com,ca,,6150ec4156178a9030e6ba57
Dominga,Mckeon,Scott & Murphy Inc,68 Dd N #1,Trois-Rivieres,NA,QC,G8T 7G3,819-627-1581,819-974-1149,dominga_mckeon@yahoo.com,http://www.scottmurphyinc.com,ca,,6150ec4156178a9030e6ba58
Hollis,Keomuangtai,Amsterdam News,27 7th St,Keswick,NA,ON,L4P 1V3,905-928-5294,905-356-3061,hollis.keomuangtai@cox.net,http://www.amsterdamnews.com,ca,,6150ec4156178a9030e6ba59
Carry,Ziller,Hatboro Delivery Service,8 Maynesboro St,Strathroy,NA,ON,N7G 3H9,519-847-8783,519-902-8276,carry@cox.net,http://www.hatborodeliveryservice.com,ca,,6150ec4156178a9030e6ba5a
Bong,Fears,Cabot Safety Corp Aorx Center,7 State St #1,Pierrefonds,NA,QC,H9H 3C8,514-308-1992,514-798-2801,bfears@fears.org,http://www.cabotsafetycorpaorxcenter.com,ca,,6150ec4156178a9030e6ba5b
Yolande,Staiano,Williams Jamal Ltd,21 N 14th St,Orleans,NA,ON,K1C 3C7,613-700-7712,613-896-1928,yolande_staiano@gmail.com,http://www.williamsjamalltd.com,ca,,6150ec4156178a9030e6ba5c
Lottie,Hegdahl,Management Protection Services,45 W 21st St,Unionville,NA,ON,L3R 2H1,905-638-1034,905-780-4717,lottie_hegdahl@aol.com,http://www.managementprotectionservices.com,ca,,6150ec4156178a9030e6ba5d
Jose,Kylish,Nicks Printing,93 Law Dr,Pierrefonds,NA,QC,H9J 1W6,514-211-3774,514-504-3039,jose.kylish@aol.com,http://www.nicksprinting.com,ca,,6150ec4156178a9030e6ba5e
Tuyet,Abramovitz,Gibbard, H Frank Iii,976 Cozycroft Ave,Richmond Hill,NA,ON,L4E 4P3,905-790-7938,905-876-7283,tuyet.abramovitz@abramovitz.com,http://www.gibbardhfrankiii.com,ca,6150ec4156178a9030e6ba5f
Pearline,Provenzano,Information Marketing Svc Inc,611 S 2nd St,Concord,NA,ON,L4K 1V4,905-734-9102,905-871-6252,pearline.provenzano@provenzano.org,http://www.informationmarketingsvcinc.com,ca,,6150ec4156178a9030e6ba60
Robt,Hankison,Joseph Notarianni & Co,3780 Ronson Rd,Quebec,NA,QC,G1L 4H3,418-874-8104,418-997-2257,robt_hankison@cox.net,http://www.josephnotariannico.com,ca,,6150ec4156178a9030e6ba61
Shawnee,Kesten,N Amercn Min & Quar Equip Inc,5 W Irving Park Rd,Big Ridge,NA,NS,B1K 1X8,902-208-1038,902-514-6214,shawnee@yahoo.com,http://www.namercnminquarequipinc.com,ca,,6150ec4156178a9030e6ba62
Lacresha,Quinones,John Drew Theater Of Gld Hall,48 Bernardo Cent,Vaudreuil-Dorion,NA,QC,J7V 5V8,450-213-1080,450-248-5946,lacresha@hotmail.com,http://www.johndrewtheaterofgldhall.com,ca,,6150ec4156178a9030e6ba63
Basilia,Vinroe,Ariz Association Of Life Und,45 S Wells Ave,Quebec,NA,QC,G1H 1A6,418-386-6120,418-417-9632,basilia.vinroe@gmail.com,http://www.arizassociationoflifeund.com,ca,,6150ec4156178a9030e6ba64
Aleisha,Areizaga,Hi Port Distribtg Inc,960 Deming Way,Quebec,NA,QC,G1C 5G2,418-408-1640,418-915-1088,aareizaga@hotmail.com,http://www.hiportdistribtginc.com,ca,,6150ec4156178a9030e6ba65
Frank,Tryninewski,Interlink Marketing Inc,462 2nd St,Prince Albert,NA,SK,S6V 6E5,306-653-1772,306-265-2144,ftryninewski@gmail.com,http://www.interlinkmarketinginc.com,ca,,6150ec4156178a9030e6ba66
Ria,Steinhorst,D H Auto Equip Inc,269 Commercial Dr,Jonquiere,NA,QC,G7S 2S3,418-319-1374,418-221-6034,ria.steinhorst@steinhorst.com,http://www.dhautoequipinc.com,ca,,6150ec4156178a9030e6ba67
Carla,Kallenberger,Mcginness & Shaw,8 Commercial Blvd #9,Hanover,NA,ON,N4N 1Z7,519-646-7797,519-560-6667,carla@aol.com,http://www.mcginnessshaw.com,ca,,6150ec4156178a9030e6ba68
Lashanda,Skahan,Monogram Co,739 Stockton Ave,Gray Rapids,NA,NB,E9B 1G6,506-497-2698,506-543-5119,lashanda.skahan@aol.com,http://www.monogramco.com,ca,,6150ec4156178a9030e6ba69
Jarod,Catalina,Industrial Precision Corp,60 Sunrise Ave,North Bay,NA,ON,P1B 2L4,705-369-2146,705-915-3282,jcatalina@aol.com,http://www.industrialprecisioncorp.com,ca,,6150ec4156178a9030e6ba6a
Leoma,Rabago,Curtis, Martin L Dds,575 Washington St,Nanaimo,NA,BC,V9R 6W5,250-810-7815,250-340-9574,leoma.rabago@hotmail.com,http://www.curtismartinldds.com,ca,6150ec4156178a9030e6ba6b
Yasuko,Greeves,Plant,4634 Anania Dr,Vernon,NA,BC,V1B 3Z4,250-891-6910,250-302-7554,ygreeves@cox.net,http://www.plant.com,ca,,6150ec4156178a9030e6ba6c
Jimmie,Snelling,Tri Lakes Chamber Of Commerce,24 Sw Bridgeport Rd,Oakville,NA,ON,L6J 7H9,905-772-1416,905-958-5143,jimmie.snelling@gmail.com,http://www.trilakeschamberofcommerce.com,ca,,6150ec4156178a9030e6ba6d
Titus,Dugre,American Lung Assoc,419 N Dixboro Rd #8,Gatineau,NA,QC,J9J 0V4,819-983-1846,819-842-7631,titus.dugre@dugre.org,http://www.americanlungassoc.com,ca,,6150ec4156178a9030e6ba6e
Joanne,Teoh,Rever, Irwin S Esq,1 W Sierra Madre Blvd #9985,St Catharines,NA,ON,L2M 1R4,905-219-6895,905-928-7775,joanne@yahoo.com,http://www.reverirwinsesq.com,ca,6150ec4156178a9030e6ba6f
Suzi,Groom,Comisky, James L,9 W Jackson Blvd,Surrey,NA,BC,V3S 7P4,604-700-2946,604-811-1777,suzi.groom@groom.org,http://www.comiskyjamesl.com,ca,6150ec4156178a9030e6ba70
Denny,Amazan,Pony Express National Memorial,4974 Rockburn Hill Rd #3,Surrey,NA,BC,V4A 8M9,604-239-4105,604-864-8071,denny@amazan.com,http://www.ponyexpressnationalmemorial.com,ca,,6150ec4156178a9030e6ba71
Willie,Coughlan,Brooktronics Engineering Corp,8545 S Westshore Blvd,Cantley,NA,QC,J8V 3K1,819-869-6389,819-816-5427,willie@aol.com,http://www.brooktronicsengineeringcorp.com,ca,,6150ec4156178a9030e6ba72
Margurite,Brake,Moyer, David W Esq,258 S Ash Ave,Amherstburg,NA,ON,N9V 1S8,519-476-5983,519-248-6055,margurite.brake@yahoo.com,http://www.moyerdavidwesq.com,ca,6150ec4156178a9030e6ba73
Arlen,Romack,Whitehurst, William O Jr,1 W Green Bay St,Saint John,NA,NB,E2K 3R6,506-218-3036,506-871-1452,arlen.romack@yahoo.com,http://www.whitehurstwilliamojr.com,ca,6150ec4156178a9030e6ba74
Nickie,Balonek,Mcinerney Communications,7 Saint Nicholas Ave,North Vancouver,NA,BC,V7J 3P8,604-556-1080,604-408-3115,nickie.balonek@balonek.com,http://www.mcinerneycommunications.com,ca,,6150ec4156178a9030e6ba75
Fletcher,Caneles,Hy Cite Corp,87 Spencerville Ct #2,Hamilton,NA,ON,L8S 3V2,905-992-1637,905-974-3091,fcaneles@caneles.com,http://www.hycitecorp.com,ca,,6150ec4156178a9030e6ba76
Rutha,Eisert,Quality Litho Printing,87 W 32nd St,Niagara Falls,NA,ON,L2G 3H6,905-468-2503,905-288-1333,rutha@eisert.com,http://www.qualitylithoprinting.com,ca,,6150ec4156178a9030e6ba77
Brandon,Geigel,Royal Title Service Inc,70 W Main St,Vancouver,NA,BC,V5Z 3S8,604-940-9313,604-894-9406,bgeigel@gmail.com,http://www.royaltitleserviceinc.com,ca,,6150ec4156178a9030e6ba78
Franchesca,Lamme,Euorpean Pretzel Bakery,3208 W Touhy Ave,Charlottetown,NA,PE,C1E 1W8,902-715-9684,902-291-8223,franchesca_lamme@yahoo.com,http://www.euorpeanpretzelbakery.com,ca,,6150ec4156178a9030e6ba79
Lorriane,Naddeo,American Space Planners Inc,7 Airway Cir,Duncan,NA,BC,V9L 2T9,250-544-1482,250-738-4408,lorriane.naddeo@naddeo.org,http://www.americanspaceplannersinc.com,ca,,6150ec4156178a9030e6ba7a
Asuncion,Berson,Link, Andrew P,54 Whitaker Way,Reinfeld,NA,MB,R6W 1K7,204-318-1929,204-696-6138,aberson@aol.com,http://www.linkandrewp.com,ca,6150ec4156178a9030e6ba7b
Georgiann,Hoerter,Orava, Stephen J Esq,4945 Progress Dr,Grand-Mere,NA,QC,G9T 3C3,819-632-2869,819-695-5561,georgiann_hoerter@hoerter.com,http://www.oravastephenjesq.com,ca,6150ec4156178a9030e6ba7c
Hershel,Bultron,Kings Trophies & Engraving Co,658 W 30th St,London,NA,ON,N5Z 1R6,519-844-4835,519-782-2362,hershel_bultron@bultron.org,http://www.kingstrophiesengravingco.com,ca,,6150ec4156178a9030e6ba7d
Chu,Collopy,Chiropractic Care Center,8 E 9mile Rd #697,Trois-Rivieres,NA,QC,G8V 2J6,819-677-1206,819-899-7304,chu@aol.com,http://www.chiropracticcarecenter.com,ca,,6150ec4156178a9030e6ba7e
Bettina,Vosmus,Willamette Valley Walnuts Inc,7 Ryan Industrial Ct,Vancouver,NA,BC,V6H 3Y2,604-752-9256,604-539-9088,bettina@hotmail.com,http://www.willamettevalleywalnutsinc.com,ca,,6150ec4156178a9030e6ba7f
Lynsey,Sport,Ross, Donald J Esq,7 Mccrea St,Chilliwack,NA,BC,V2P 6L6,604-525-6939,604-485-8495,lynsey.sport@aol.com,http://www.rossdonaldjesq.com,ca,6150ec4156178a9030e6ba80
Phil,Kuechler,Sequins International Inc,7 Mcwhorter Rd,Jonquiere,NA,QC,G7X 2X4,418-940-4070,418-996-6859,phil_kuechler@gmail.com,http://www.sequinsinternationalinc.com,ca,,6150ec4156178a9030e6ba81
Cordelia,Nicks,Pacific Valley Appraisal Svc,572 Simpson St,Georgetown,NA,ON,L7G 2T4,905-975-4308,905-881-8675,cnicks@nicks.org,http://www.pacificvalleyappraisalsvc.com,ca,,6150ec4156178a9030e6ba82
Georgeanna,Marrano,Allied Fine Furniture,3493 Camino Ruiz,Hamilton,NA,ON,L8N 2V6,905-366-7378,905-540-7836,gmarrano@gmail.com,http://www.alliedfinefurniture.com,ca,,6150ec4156178a9030e6ba83
Rosendo,Lanter,Howe & Hutton Ltd,2052 E Semoran Blvd,Regina,NA,SK,S4N 5R4,306-700-6743,306-714-9622,rosendo@hotmail.com,http://www.howehuttonltd.com,ca,,6150ec4156178a9030e6ba84
Jerilyn,Norcia,Jaqua & Wheatley Pc,9 Main St,Hanover,NA,ON,N4N 2P6,519-978-7661,519-649-6721,jerilyn@hotmail.com,http://www.jaquawheatleypc.com,ca,,6150ec4156178a9030e6ba85
Elfriede,Bakeley,Krei 800 Radio Station,538 Fayetteville Street Mall,Grand-Sault/Grand Falls,NA,NB,E3Z 2K5,506-404-8558,506-956-6048,ebakeley@bakeley.com,http://www.kreiradiostation.com,ca,,6150ec4156178a9030e6ba86
Harris,Sheck,New Lans Corporation,9875 Sheafe Rd,Montreal,NA,QC,H2H 1Z2,514-257-9319,514-774-5902,harris@cox.net,http://www.newlanscorporation.com,ca,,6150ec4156178a9030e6ba87
Leonor,Beilinson,Lochaven Fed Svngs & Ln Assn,269 Distribution Way,Orleans,NA,ON,K1C 1Z6,613-338-5158,613-308-1865,leonor.beilinson@hotmail.com,http://www.lochavenfedsvngslnassn.com,ca,,6150ec4156178a9030e6ba88
Terrilyn,Waska,Corallino, Robert L Cpa,6 E Miraloma Ave,Gatineau,NA,QC,J8M 2A5,819-670-6020,819-318-6187,terrilyn_waska@hotmail.com,http://www.corallinorobertlcpa.com,ca,6150ec4156178a9030e6ba89
Maddie,Foulds,Sinclair Machine Products Inc,56 N Wood Ave #25,Montreal,NA,QC,H2M 1W9,514-874-9519,514-545-7912,maddie@hotmail.com,http://www.sinclairmachineproductsinc.com,ca,,6150ec4156178a9030e6ba8a
Melynda,Anstead,Leader,3 Lee Dr #8435,Longueuil,NA,QC,J4J 3E9,450-470-3593,450-261-4907,melynda@hotmail.com,http://www.leader.com,ca,,6150ec4156178a9030e6ba8b
Odette,Thigpen,Beauregard Federal Savings Bnk,1831 Everett Rd,Corner Brook,NA,NL,A2H 2K1,709-744-4165,709-750-3310,othigpen@thigpen.com,http://www.beauregardfederalsavingsbnk.com,ca,,6150ec4156178a9030e6ba8c
Steffanie,Meinen,Rosenblum, Donn D Esq,801 W Belmont Ave,Montreal,NA,QC,H3C 5G9,514-964-9106,514-644-9120,steffanie.meinen@cox.net,http://www.rosenblumdonndesq.com,ca,6150ec4156178a9030e6ba8d
Antonette,Stimac,Kasprenski, Michael D Esq,61 N Westshore Blvd,Kitchener,NA,ON,N2A 1S3,519-670-5269,519-574-5766,antonette_stimac@stimac.org,http://www.kasprenskimichaeldesq.com,ca,6150ec4156178a9030e6ba8e
Thora,Daneker,Engravers,6 Old York Rd,Gatineau,NA,QC,J8P 3A1,819-648-4049,819-419-1891,tdaneker@daneker.com,http://www.engravers.com,ca,,6150ec4156178a9030e6ba8f
Nada,Massanet,Shastri, S R Md,80 Sw End Blvd,Surrey,NA,BC,V3R 4L7,604-570-1494,604-464-2579,nmassanet@yahoo.com,http://www.shastrisrmd.com,ca,6150ec4156178a9030e6ba90
Ivette,Dills,South Texas Prod Splty Inc,7585 Calle De Industrias,Reserve Mines,NA,NS,B1E 1G6,902-244-5318,902-899-7285,idills@cox.net,http://www.southtexasprodspltyinc.com,ca,,6150ec4156178a9030e6ba91
Devon,Delacerda,Kcon Inc,250 University Ave #9,Comox,NA,BC,V9M 1T4,250-525-4631,250-811-7716,devon@hotmail.com,http://www.kconinc.com,ca,,6150ec4156178a9030e6ba92
Lon,Tibbles,May W L Co Inc,78 Eastway Dr,Mississauga,NA,ON,L5E 1B7,905-233-1845,905-290-1867,lon.tibbles@cox.net,http://www.maywlcoinc.com,ca,,6150ec4156178a9030e6ba93
Tennie,Santanna,M A C Insurance Agency,196 Waterman Ave #1,Trois-Rivieres,NA,QC,G8T 6A2,819-261-5496,819-276-7974,tennie@aol.com,http://www.macinsuranceagency.com,ca,,6150ec4156178a9030e6ba94
Fidelia,Vilven,Gto Lithographers Inc,9 Meridian St,Scarborough,NA,ON,M1G 1V4,416-892-4321,416-209-3419,fvilven@vilven.org,http://www.gtolithographersinc.com,ca,,6150ec4156178a9030e6ba95
Michal,Gunyan,Physician Manager,9514 Mount Vernon Ave,Quebec,NA,QC,G2B 4L7,418-399-6819,418-652-4085,michal_gunyan@gunyan.com,http://www.physicianmanager.com,ca,,6150ec4156178a9030e6ba96
